start_preprocess,e_preprocess,end_preprocess,start_infer,e_infer,end_infer,start_postprocess,e_postprocess,end_postprocess,execution_time,cycle_time,frame_rate
466641.56,10.16,466651.73,466651.73,524.24,467175.97,467175.97,0.01,467175.97,534.41,nan,nan
467175.98,10.20,467186.18,467186.18,523.92,467710.10,467710.10,0.01,467710.10,534.13,534.41,1.87
467710.11,10.25,467720.36,467720.36,524.35,468244.71,468244.71,0.01,468244.72,534.61,534.13,1.87
468244.72,10.16,468254.88,468254.88,524.24,468779.12,468779.12,0.01,468779.13,534.40,534.61,1.87
468779.13,10.21,468789.34,468789.34,524.64,469313.98,469313.98,0.01,469313.99,534.86,534.41,1.87
469314.00,10.19,469324.19,469324.19,524.71,469848.90,469848.90,0.01,469848.91,534.91,534.86,1.87
469848.91,10.16,469859.07,469859.07,524.11,470383.18,470383.18,0.01,470383.19,534.28,534.92,1.87
470383.20,10.21,470393.40,470393.40,517.00,470910.40,470910.40,0.01,470910.41,527.21,534.28,1.87
470910.41,9.94,470920.36,470920.36,509.88,471430.23,471430.23,0.01,471430.24,519.83,527.21,1.90
471430.25,10.27,471440.51,471440.51,524.28,471964.79,471964.79,0.01,471964.80,534.55,519.83,1.92
471964.80,10.18,471974.98,471974.98,524.20,472499.18,472499.18,0.01,472499.18,534.38,534.56,1.87
472499.19,10.20,472509.39,472509.39,523.97,473033.35,473033.35,0.01,473033.36,534.17,534.39,1.87
473033.36,10.21,473043.58,473043.58,524.72,473568.29,473568.29,0.01,473568.30,534.94,534.18,1.87
473568.31,10.18,473578.49,473578.49,524.12,474102.61,474102.61,0.01,474102.62,534.31,534.94,1.87
474102.62,10.19,474112.82,474112.82,524.15,474636.96,474636.96,0.01,474636.97,534.35,534.32,1.87
474636.97,10.18,474647.15,474647.15,524.43,475171.58,475171.58,0.01,475171.59,534.62,534.35,1.87
475171.60,10.18,475181.77,475181.77,524.24,475706.02,475706.02,0.01,475706.02,534.43,534.62,1.87
475706.03,10.22,475716.25,475716.25,524.42,476240.67,476240.67,0.01,476240.68,534.65,534.43,1.87
476240.68,10.18,476250.87,476250.87,524.41,476775.27,476775.27,0.01,476775.28,534.59,534.65,1.87
476775.28,10.25,476785.53,476785.53,524.21,477309.75,477309.75,0.01,477309.75,534.47,534.60,1.87
477309.76,10.24,477320.00,477320.00,524.30,477844.30,477844.30,0.01,477844.31,534.55,534.48,1.87
477844.31,10.22,477854.53,477854.53,524.27,478378.80,478378.80,0.01,478378.81,534.50,534.55,1.87
478378.81,10.20,478389.01,478389.01,524.52,478913.53,478913.53,0.01,478913.54,534.72,534.50,1.87
478913.54,10.17,478923.72,478923.72,524.87,479448.59,479448.59,0.01,479448.60,535.05,534.73,1.87
479448.60,10.17,479458.77,479458.77,524.27,479983.05,479983.05,0.01,479983.05,534.45,535.06,1.87
479983.06,10.23,479993.29,479993.29,524.12,480517.41,480517.41,0.01,480517.41,534.36,534.46,1.87
480517.42,10.18,480527.60,480527.60,525.33,481052.92,481052.92,0.01,481052.93,535.51,534.36,1.87
481052.94,10.18,481063.12,481063.12,524.09,481587.20,481587.20,0.01,481587.21,534.27,535.52,1.87
481587.22,10.15,481597.37,481597.37,524.55,482121.92,482121.92,0.01,482121.93,534.71,534.28,1.87
482121.93,10.25,482132.18,482132.18,524.14,482656.32,482656.32,0.01,482656.33,534.40,534.71,1.87
482656.33,10.18,482666.52,482666.52,524.25,483190.76,483190.76,0.01,483190.77,534.44,534.40,1.87
483190.77,10.21,483200.98,483200.99,524.45,483725.44,483725.44,0.01,483725.45,534.67,534.44,1.87
483725.45,10.17,483735.62,483735.62,524.63,484260.25,484260.25,0.01,484260.26,534.80,534.68,1.87
484260.26,10.17,484270.43,484270.43,524.23,484794.66,484794.66,0.01,484794.67,534.41,534.81,1.87
484794.68,10.26,484804.94,484804.94,524.40,485329.33,485329.33,0.01,485329.34,534.66,534.41,1.87
485329.35,10.19,485339.54,485339.54,524.51,485864.05,485864.05,0.01,485864.06,534.71,534.67,1.87
485864.06,10.19,485874.25,485874.25,524.38,486398.64,486398.64,0.01,486398.65,534.58,534.72,1.87
486398.65,10.22,486408.87,486408.87,524.83,486933.70,486933.70,0.01,486933.70,535.05,534.59,1.87
486933.71,10.18,486943.89,486943.89,524.48,487468.37,487468.37,0.01,487468.37,534.66,535.06,1.87
487468.38,10.17,487478.55,487478.55,524.54,488003.10,488003.10,0.01,488003.10,534.72,534.67,1.87
488003.11,10.18,488013.29,488013.29,524.47,488537.76,488537.76,0.01,488537.77,534.66,534.73,1.87
488537.78,10.27,488548.04,488548.04,524.27,489072.31,489072.31,0.01,489072.32,534.54,534.67,1.87
489072.32,10.25,489082.57,489082.57,524.55,489607.12,489607.12,0.01,489607.13,534.80,534.55,1.87
489607.13,10.18,489617.31,489617.31,524.40,490141.72,490141.72,0.01,490141.72,534.59,534.81,1.87
490141.73,10.21,490151.94,490151.94,524.67,490676.61,490676.61,0.01,490676.61,534.89,534.59,1.87
490676.62,10.18,490686.80,490686.80,524.60,491211.40,491211.40,0.01,491211.41,534.79,534.89,1.87
491211.41,10.16,491221.58,491221.58,524.49,491746.06,491746.06,0.01,491746.07,534.65,534.80,1.87
491746.07,10.19,491756.26,491756.26,524.49,492280.75,492280.75,0.01,492280.76,534.68,534.66,1.87
492280.76,10.14,492290.90,492290.90,524.44,492815.35,492815.35,0.01,492815.35,534.59,534.69,1.87
