start_preprocess,e_preprocess,end_preprocess,start_infer,e_infer,end_infer,start_postprocess,e_postprocess,end_postprocess,execution_time,cycle_time,frame_rate
492815.36,10.18,492825.54,492825.54,524.14,493349.68,493349.68,0.01,493349.68,534.33,534.59,1.87
493349.69,10.25,493359.94,493359.94,524.48,493884.41,493884.41,0.01,493884.42,534.73,534.33,1.87
493884.43,10.21,493894.64,493894.64,524.41,494419.05,494419.05,0.01,494419.06,534.63,534.74,1.87
494419.06,10.17,494429.23,494429.23,524.44,494953.68,494953.68,0.01,494953.68,534.62,534.64,1.87
494953.69,10.16,494963.85,494963.85,524.31,495488.16,495488.16,0.01,495488.17,534.48,534.63,1.87
495488.17,10.22,495498.39,495498.39,524.58,496022.97,496022.97,0.01,496022.97,534.80,534.48,1.87
496022.98,10.20,496033.18,496033.18,524.10,496557.28,496557.28,0.01,496557.29,534.31,534.81,1.87
496557.30,10.20,496567.49,496567.49,524.71,497092.20,497092.20,0.01,497092.21,534.91,534.32,1.87
497092.24,10.16,497102.40,497102.40,524.72,497627.13,497627.13,0.01,497627.13,534.89,534.94,1.87
497627.14,10.22,497637.36,497637.36,524.21,498161.57,498161.57,0.01,498161.58,534.44,534.90,1.87
498161.58,10.23,498171.82,498171.82,524.54,498696.36,498696.36,0.01,498696.36,534.78,534.45,1.87
498696.37,10.19,498706.56,498706.56,524.40,499230.96,499230.96,0.01,499230.97,534.60,534.79,1.87
499230.97,10.17,499241.15,499241.15,524.51,499765.66,499765.66,0.01,499765.67,534.69,534.60,1.87
499765.67,10.18,499775.85,499775.85,524.58,500300.43,500300.43,0.01,500300.44,534.76,534.70,1.87
500300.44,10.17,500310.61,500310.61,524.46,500835.08,500835.08,0.01,500835.08,534.64,534.77,1.87
500835.09,10.20,500845.29,500845.29,524.44,501369.73,501369.73,0.01,501369.74,534.65,534.64,1.87
501369.74,10.21,501379.95,501379.95,524.56,501904.51,501904.51,0.01,501904.51,534.77,534.66,1.87
501904.52,10.15,501914.66,501914.66,524.18,502438.84,502438.84,0.01,502438.85,534.33,534.77,1.87
502438.85,10.22,502449.07,502449.07,524.47,502973.55,502973.55,0.01,502973.55,534.70,534.34,1.87
502973.56,10.17,502983.73,502983.73,524.26,503507.99,503507.99,0.01,503508.00,534.44,534.70,1.87
503508.01,10.14,503518.15,503518.15,524.34,504042.49,504042.49,0.01,504042.50,534.49,534.46,1.87
504042.51,10.18,504052.68,504052.68,524.41,504577.09,504577.09,0.01,504577.10,534.59,534.49,1.87
504577.10,10.18,504587.29,504587.29,524.52,505111.81,505111.81,0.01,505111.81,534.71,534.60,1.87
505111.82,10.20,505122.02,505122.02,524.52,505646.54,505646.54,0.01,505646.55,534.73,534.72,1.87
505646.55,10.22,505656.77,505656.77,524.08,506180.85,506180.85,0.01,506180.85,534.30,534.73,1.87
506180.86,10.18,506191.04,506191.04,524.66,506715.70,506715.70,0.01,506715.71,534.85,534.31,1.87
506715.71,10.18,506725.89,506725.89,524.33,507250.22,507250.22,0.01,507250.23,534.51,534.85,1.87
507250.23,10.18,507260.41,507260.41,523.76,507784.17,507784.17,0.01,507784.18,533.95,534.52,1.87
507784.18,10.15,507794.33,507794.33,524.43,508318.77,508318.77,0.01,508318.77,534.59,533.95,1.87
508318.78,10.15,508328.93,508328.93,524.70,508853.64,508853.64,0.01,508853.64,534.86,534.60,1.87
508853.65,10.22,508863.86,508863.86,524.53,509388.39,509388.39,0.01,509388.40,534.75,534.87,1.87
509388.40,10.15,509398.56,509398.56,524.67,509923.22,509923.22,0.01,509923.23,534.83,534.76,1.87
509923.26,10.17,509933.42,509933.42,524.08,510457.50,510457.50,0.01,510457.51,534.25,534.85,1.87
510457.51,10.16,510467.67,510467.67,524.51,510992.17,510992.17,0.01,510992.18,534.67,534.25,1.87
510992.19,10.13,511002.32,511002.32,524.46,511526.78,511526.78,0.01,511526.79,534.60,534.68,1.87
511526.79,10.20,511536.99,511536.99,524.45,512061.44,512061.44,0.01,512061.45,534.66,534.60,1.87
512061.45,10.19,512071.64,512071.64,524.34,512595.98,512595.98,0.01,512595.99,534.54,534.66,1.87
512595.99,10.16,512606.16,512606.16,524.62,513130.77,513130.77,0.01,513130.78,534.79,534.54,1.87
513130.79,10.21,513140.99,513140.99,524.43,513665.42,513665.42,0.01,513665.43,534.64,534.79,1.87
513665.43,10.16,513675.59,513675.59,524.31,514199.90,514199.90,0.01,514199.91,534.47,534.65,1.87
514199.91,10.22,514210.14,514210.14,524.50,514734.63,514734.63,0.01,514734.64,534.73,534.48,1.87
514734.65,10.18,514744.83,514744.83,524.65,515269.48,515269.48,0.01,515269.48,534.84,534.73,1.87
515269.49,10.22,515279.71,515279.71,524.12,515803.83,515803.83,0.01,515803.83,534.35,534.84,1.87
515803.84,10.19,515814.03,515814.03,524.54,516338.57,516338.57,0.01,516338.58,534.74,534.35,1.87
516338.58,10.23,516348.82,516348.82,524.60,516873.42,516873.42,0.01,516873.43,534.84,534.74,1.87
516873.43,10.18,516883.61,516883.61,524.56,517408.17,517408.17,0.01,517408.17,534.74,534.85,1.87
517408.18,10.16,517418.34,517418.34,524.55,517942.89,517942.89,0.01,517942.89,534.71,534.75,1.87
517942.90,10.25,517953.15,517953.15,524.30,518477.45,518477.45,0.01,518477.46,534.56,534.72,1.87
518477.46,10.18,518487.64,518487.64,524.63,519012.27,519012.27,0.01,519012.27,534.81,534.56,1.87
519012.28,10.21,519022.48,519022.48,524.66,519547.15,519547.15,0.01,519547.15,534.87,534.82,1.87
519547.16,10.18,519557.33,519557.33,524.67,520082.01,520082.01,0.01,520082.01,534.86,534.88,1.87
520082.02,10.28,520092.30,520092.30,524.24,520616.54,520616.54,0.01,520616.55,534.53,534.86,1.87
520616.55,10.19,520626.74,520626.74,524.49,521151.23,521151.24,0.01,521151.24,534.69,534.53,1.87
521151.25,10.23,521161.48,521161.48,524.68,521686.15,521686.15,0.01,521686.16,534.91,534.70,1.87
521686.16,10.18,521696.34,521696.34,524.25,522220.60,522220.60,0.01,522220.60,534.44,534.91,1.87
522220.61,10.23,522230.84,522230.84,524.55,522755.38,522755.38,0.01,522755.39,534.78,534.45,1.87
522755.42,10.17,522765.59,522765.59,524.26,523289.85,523289.85,0.01,523289.86,534.44,534.81,1.87
523289.86,10.21,523300.07,523300.07,524.34,523824.41,523824.41,0.01,523824.42,534.55,534.45,1.87
523824.42,10.19,523834.61,523834.61,524.30,524358.92,524358.92,0.01,524358.92,534.50,534.56,1.87
524358.93,10.18,524369.11,524369.11,524.44,524893.55,524893.55,0.01,524893.56,534.63,534.51,1.87
524893.56,10.20,524903.77,524903.77,525.07,525428.83,525428.83,0.01,525428.84,535.28,534.63,1.87
525428.85,10.15,525439.00,525439.00,524.67,525963.67,525963.67,0.01,525963.67,534.83,535.28,1.87
525963.68,10.16,525973.84,525973.84,524.17,526498.01,526498.01,0.01,526498.01,534.33,534.83,1.87
526498.02,10.20,526508.22,526508.22,524.26,527032.48,527032.48,0.01,527032.48,534.46,534.34,1.87
527032.49,10.15,527042.64,527042.64,524.38,527567.02,527567.02,0.01,527567.02,534.54,534.47,1.87
527567.03,10.17,527577.20,527577.20,524.61,528101.81,528101.81,0.01,528101.82,534.79,534.54,1.87
528101.83,10.28,528112.11,528112.11,524.15,528636.26,528636.26,0.01,528636.26,534.44,534.80,1.87
528636.27,10.08,528646.35,528646.35,524.36,529170.71,529170.71,0.01,529170.72,534.45,534.44,1.87
529170.73,10.25,529180.98,529180.98,524.61,529705.58,529705.58,0.01,529705.59,534.87,534.46,1.87
529705.60,10.19,529715.79,529715.79,524.59,530240.38,530240.38,0.01,530240.38,534.78,534.87,1.87
530240.39,10.14,530250.53,530250.53,521.10,530771.63,530771.64,0.01,530771.64,531.25,534.79,1.87
530771.64,9.92,530781.56,530781.56,506.16,531287.72,531287.72,0.01,531287.73,516.08,531.26,1.88
531287.73,10.27,531298.00,531298.00,524.13,531822.13,531822.13,0.01,531822.13,534.40,516.09,1.94
531822.14,10.20,531832.33,531832.33,524.58,532356.92,532356.92,0.01,532356.93,534.79,534.41,1.87
532356.93,10.16,532367.09,532367.09,524.58,532891.67,532891.67,0.01,532891.68,534.75,534.79,1.87
532891.68,10.23,532901.91,532901.91,524.35,533426.27,533426.27,0.01,533426.27,534.59,534.75,1.87
533426.28,10.18,533436.46,533436.46,524.11,533960.57,533960.57,0.01,533960.58,534.30,534.59,1.87
533960.59,10.13,533970.71,533970.71,524.72,534495.43,534495.43,0.01,534495.44,534.85,534.31,1.87
534495.44,10.22,534505.67,534505.67,524.22,535029.89,535029.89,0.01,535029.89,534.45,534.86,1.87
535029.90,10.20,535040.10,535040.10,524.71,535564.80,535564.80,0.03,535564.83,534.93,534.46,1.87
535564.84,10.21,535575.05,535575.05,524.54,536099.59,536099.59,0.01,536099.60,534.76,534.94,1.87
536099.61,10.21,536109.82,536109.82,524.17,536633.99,536633.99,0.01,536633.99,534.39,534.77,1.87
536634.00,10.17,536644.17,536644.17,524.64,537168.82,537168.82,0.01,537168.82,534.82,534.39,1.87
537168.83,10.20,537179.03,537179.03,524.39,537703.42,537703.42,0.01,537703.42,534.60,534.83,1.87
537703.43,10.17,537713.60,537713.60,524.14,538237.73,538237.73,0.01,538237.74,534.31,534.60,1.87
538237.74,10.19,538247.93,538247.93,524.42,538772.35,538772.35,0.01,538772.36,534.62,534.32,1.87
538772.37,10.19,538782.56,538782.56,524.74,539307.29,539307.30,0.01,539307.30,534.94,534.62,1.87
539307.31,10.26,539317.57,539317.57,524.48,539842.05,539842.05,0.01,539842.05,534.75,534.94,1.87
539842.06,10.19,539852.25,539852.25,524.18,540376.43,540376.43,0.01,540376.44,534.38,534.75,1.87
540376.44,10.20,540386.64,540386.64,525.23,540911.87,540911.87,0.01,540911.88,535.44,534.38,1.87
540911.88,10.20,540922.09,540922.09,524.61,541446.70,541446.70,0.01,541446.71,534.82,535.44,1.87
541446.71,10.22,541456.94,541456.94,524.63,541981.56,541981.56,0.01,541981.57,534.86,534.83,1.87
541981.57,10.26,541991.83,541991.83,524.42,542516.25,542516.25,0.01,542516.26,534.69,534.86,1.87
542516.27,10.22,542526.49,542526.49,524.12,543050.61,543050.61,0.01,543050.62,534.35,534.69,1.87
543050.62,10.23,543060.85,543060.85,523.87,543584.71,543584.71,0.01,543584.72,534.10,534.36,1.87
543584.73,10.22,543594.95,543594.95,524.30,544119.25,544119.25,0.01,544119.26,534.53,534.10,1.87
544119.26,10.24,544129.50,544129.50,524.54,544654.04,544654.04,0.01,544654.05,534.79,534.53,1.87
544654.05,10.25,544664.30,544664.30,524.38,545188.68,545188.68,0.01,545188.69,534.63,534.79,1.87
545188.69,10.16,545198.86,545198.86,524.34,545723.19,545723.19,0.01,545723.20,534.51,534.64,1.87
545723.21,10.24,545733.45,545733.45,524.14,546257.59,546257.59,0.01,546257.60,534.39,534.51,1.87
546257.60,10.28,546267.88,546267.88,524.51,546792.39,546792.39,0.01,546792.39,534.79,534.40,1.87
546792.40,10.16,546802.56,546802.56,524.58,547327.14,547327.14,0.01,547327.15,534.75,534.80,1.87
547327.15,10.25,547337.40,547337.40,523.86,547861.26,547861.26,0.01,547861.27,534.12,534.75,1.87
547861.27,10.21,547871.48,547871.48,524.64,548396.12,548396.14,0.01,548396.14,534.87,534.12,1.87
548396.15,10.18,548406.33,548406.33,524.32,548930.65,548930.65,0.01,548930.66,534.51,534.88,1.87
548930.66,10.17,548940.83,548940.83,524.06,549464.89,549464.89,0.01,549464.90,534.24,534.51,1.87
549464.90,10.17,549475.07,549475.07,524.39,549999.47,549999.47,0.01,549999.47,534.57,534.24,1.87
549999.48,10.21,550009.69,550009.69,524.24,550533.93,550533.93,0.01,550533.94,534.46,534.58,1.87
550533.94,10.19,550544.13,550544.13,524.71,551068.84,551068.84,0.01,551068.85,534.90,534.46,1.87
551068.85,10.15,551079.00,551079.00,524.17,551603.17,551603.17,0.01,551603.18,534.32,534.91,1.87
551603.18,10.19,551613.37,551613.37,524.31,552137.69,552137.69,0.01,552137.69,534.51,534.33,1.87
552137.70,10.16,552147.85,552147.86,524.43,552672.29,552672.29,0.01,552672.29,534.60,534.52,1.87
552672.30,10.20,552682.49,552682.49,524.29,553206.78,553206.78,0.01,553206.79,534.49,534.60,1.87
553206.79,10.24,553217.03,553217.03,524.90,553741.93,553741.93,0.01,553741.93,535.14,534.50,1.87
553741.94,10.20,553752.14,553752.14,524.44,554276.57,554276.57,0.01,554276.58,534.64,535.15,1.87
554276.58,10.08,554286.66,554286.66,524.31,554810.97,554810.97,0.01,554810.98,534.40,534.65,1.87
554810.99,10.22,554821.20,554821.20,524.64,555345.85,555345.85,0.01,555345.86,534.87,534.40,1.87
555345.86,10.21,555356.07,555356.07,524.61,555880.68,555880.68,0.01,555880.69,534.83,534.87,1.87
555880.69,10.27,555890.96,555890.96,524.23,556415.19,556415.19,0.01,556415.20,534.50,534.83,1.87
556415.20,10.22,556425.42,556425.42,524.40,556949.82,556949.82,0.01,556949.82,534.62,534.51,1.87
556949.83,10.20,556960.03,556960.03,524.24,557484.26,557484.26,0.01,557484.27,534.44,534.63,1.87
557484.27,10.26,557494.53,557494.53,524.27,558018.81,558018.81,0.01,558018.81,534.54,534.44,1.87
558018.82,10.22,558029.03,558029.04,524.34,558553.38,558553.38,0.01,558553.39,534.57,534.54,1.87
558553.39,10.23,558563.63,558563.63,524.61,559088.24,559088.24,0.01,559088.25,534.86,534.57,1.87
559088.25,10.21,559098.46,559098.46,524.52,559622.98,559622.98,0.01,559622.99,534.74,534.86,1.87
559622.99,10.20,559633.20,559633.20,524.88,560158.08,560158.08,0.01,560158.09,535.09,534.74,1.87
560158.09,10.19,560168.28,560168.28,523.90,560692.19,560692.19,0.01,560692.19,534.10,535.10,1.87
560692.20,10.21,560702.41,560702.41,524.20,561226.61,561226.63,0.01,561226.63,534.43,534.11,1.87
561226.64,10.18,561236.81,561236.81,524.66,561761.48,561761.48,0.01,561761.49,534.85,534.44,1.87
561761.49,10.18,561771.67,561771.67,524.25,562295.92,562295.92,0.01,562295.93,534.44,534.85,1.87
562295.93,10.22,562306.16,562306.16,524.16,562830.32,562830.32,0.01,562830.32,534.39,534.44,1.87
562830.33,10.20,562840.53,562840.53,524.57,563365.10,563365.10,0.01,563365.11,534.79,534.39,1.87
563365.12,10.17,563375.28,563375.29,524.84,563900.12,563900.12,0.01,563900.13,535.01,534.79,1.87
563900.13,10.16,563910.30,563910.30,524.24,564434.54,564434.54,0.01,564434.55,534.41,535.02,1.87
564434.55,10.18,564444.74,564444.74,524.62,564969.36,564969.36,0.01,564969.36,534.81,534.42,1.87
564969.37,10.24,564979.61,564979.61,524.63,565504.24,565504.24,0.01,565504.25,534.88,534.81,1.87
565504.26,10.23,565514.48,565514.48,524.28,566038.76,566038.76,0.01,566038.77,534.51,534.89,1.87
566038.78,10.18,566048.95,566048.95,524.42,566573.37,566573.37,0.01,566573.38,534.60,534.52,1.87
566573.38,10.14,566583.53,566583.53,524.42,567107.95,567107.95,0.01,567107.96,534.57,534.61,1.87
567107.96,10.19,567118.15,567118.15,524.07,567642.22,567642.22,0.01,567642.23,534.27,534.58,1.87
567642.23,10.25,567652.48,567652.48,524.27,568176.75,568176.75,0.01,568176.76,534.52,534.27,1.87
568176.76,10.24,568187.00,568187.00,524.53,568711.53,568711.53,0.01,568711.53,534.77,534.53,1.87
568711.54,10.17,568721.71,568721.71,524.15,569245.86,569245.86,0.01,569245.86,534.32,534.78,1.87
569245.87,10.24,569256.11,569256.11,524.09,569780.20,569780.20,0.01,569780.21,534.34,534.33,1.87
569780.21,10.20,569790.41,569790.41,524.46,570314.87,570314.87,0.01,570314.88,534.67,534.34,1.87
570314.89,10.22,570325.11,570325.11,524.68,570849.79,570849.79,0.01,570849.80,534.91,534.67,1.87
570849.80,10.23,570860.03,570860.03,524.14,571384.17,571384.17,0.01,571384.18,534.38,534.92,1.87
571384.18,10.16,571394.34,571394.34,524.36,571918.70,571918.70,0.01,571918.71,534.52,534.38,1.87
571918.71,10.21,571928.92,571928.92,524.23,572453.15,572453.15,0.01,572453.16,534.44,534.53,1.87
572453.16,10.14,572463.31,572463.31,524.35,572987.65,572987.65,0.01,572987.66,534.50,534.45,1.87
572987.66,10.17,572997.83,572997.83,524.55,573522.38,573522.38,0.01,573522.39,534.72,534.50,1.87
573522.39,10.19,573532.58,573532.58,524.47,574057.05,574057.05,0.01,574057.05,534.66,534.73,1.87
574057.06,10.17,574067.22,574067.22,524.36,574591.58,574591.58,0.01,574591.59,534.53,534.67,1.87
574591.60,10.23,574601.83,574601.83,523.79,575125.62,575125.62,0.01,575125.62,534.03,534.54,1.87
575125.63,10.17,575135.80,575135.80,524.59,575660.40,575660.40,0.01,575660.41,534.78,534.03,1.87
575660.41,10.18,575670.59,575670.59,524.33,576194.91,576194.91,0.01,576194.92,534.51,534.78,1.87
576194.93,10.17,576205.10,576205.10,524.78,576729.88,576729.88,0.01,576729.88,534.96,534.51,1.87
576729.89,10.25,576740.14,576740.14,523.98,577264.12,577264.12,0.01,577264.13,534.24,534.96,1.87
577264.13,10.24,577274.37,577274.37,524.39,577798.76,577798.76,0.01,577798.77,534.63,534.25,1.87
577798.77,10.19,577808.96,577808.96,524.48,578333.44,578333.44,0.01,578333.45,534.67,534.64,1.87
578333.45,10.22,578343.67,578343.67,524.45,578868.12,578868.12,0.01,578868.13,534.68,534.68,1.87
578868.14,10.17,578878.30,578878.30,524.21,579402.52,579402.52,0.01,579402.52,534.39,534.68,1.87
579402.53,10.17,579412.69,579412.70,524.19,579936.89,579936.89,0.01,579936.89,534.37,534.39,1.87
579936.90,10.20,579947.10,579947.10,524.39,580471.49,580471.49,0.01,580471.49,534.60,534.37,1.87
580471.50,10.16,580481.66,580481.66,523.92,581005.58,581005.58,0.01,581005.59,534.09,534.60,1.87
581005.59,10.19,581015.78,581015.78,524.33,581540.11,581540.11,0.01,581540.12,534.53,534.09,1.87
581540.12,10.24,581550.37,581550.37,524.20,582074.57,582074.57,0.01,582074.58,534.45,534.53,1.87
582074.58,10.18,582084.76,582084.76,524.50,582609.26,582609.26,0.01,582609.27,534.69,534.46,1.87
582609.27,10.21,582619.49,582619.49,524.29,583143.78,583143.78,0.01,583143.79,534.51,534.69,1.87
583143.79,10.18,583153.97,583153.97,524.26,583678.24,583678.24,0.01,583678.24,534.45,534.52,1.87
583678.25,10.24,583688.49,583688.49,524.41,584212.90,584212.90,0.01,584212.90,534.66,534.46,1.87
584212.91,10.16,584223.07,584223.07,524.36,584747.42,584747.42,0.01,584747.43,534.52,534.66,1.87
584747.44,10.18,584757.62,584757.62,524.45,585282.06,585282.06,0.01,585282.07,534.63,534.53,1.87
585282.07,10.27,585292.35,585292.35,524.78,585817.12,585817.12,0.01,585817.13,535.06,534.64,1.87
585817.14,10.17,585827.30,585827.30,524.42,586351.72,586351.72,0.01,586351.73,534.59,535.06,1.87
586351.73,10.16,586361.89,586361.91,524.78,586886.69,586886.69,0.01,586886.69,534.96,534.60,1.87
586886.70,10.21,586896.91,586896.91,524.55,587421.46,587421.46,0.01,587421.47,534.77,534.96,1.87
587421.47,10.21,587431.68,587431.68,524.54,587956.22,587956.22,0.01,587956.23,534.76,534.77,1.87
587956.23,10.21,587966.44,587966.44,524.54,588490.98,588490.98,0.01,588490.99,534.75,534.76,1.87
588490.99,10.19,588501.18,588501.18,524.67,589025.85,589025.85,0.01,589025.86,534.87,534.76,1.87
589025.86,10.21,589036.07,589036.07,524.33,589560.40,589560.40,0.01,589560.41,534.55,534.87,1.87
589560.42,10.21,589570.63,589570.63,524.64,590095.27,590095.27,0.01,590095.27,534.86,534.55,1.87
590095.28,10.17,590105.45,590105.45,524.33,590629.78,590629.78,0.01,590629.78,534.50,534.86,1.87
590629.79,10.15,590639.94,590639.94,505.42,591145.36,591145.36,0.01,591145.36,515.57,534.51,1.87
591145.37,9.87,591155.24,591155.24,519.80,591675.04,591675.04,0.01,591675.04,529.68,515.58,1.94
591675.05,10.18,591685.23,591685.23,524.52,592209.75,592209.75,0.01,592209.76,534.71,529.68,1.89
592209.76,10.17,592219.94,592219.94,524.30,592744.24,592744.24,0.01,592744.24,534.48,534.71,1.87
592744.25,10.14,592754.39,592754.39,524.70,593279.09,593279.09,0.01,593279.10,534.85,534.49,1.87
593279.10,10.23,593289.33,593289.33,524.35,593813.68,593813.68,0.01,593813.69,534.58,534.86,1.87
593813.69,10.22,593823.92,593823.92,524.40,594348.32,594348.32,0.01,594348.33,534.63,534.59,1.87
594348.33,10.12,594358.46,594358.46,524.65,594883.11,594883.11,0.01,594883.12,534.78,534.64,1.87
594883.12,10.18,594893.30,594893.30,524.12,595417.43,595417.43,0.01,595417.43,534.31,534.79,1.87
595417.44,10.16,595427.60,595427.60,524.65,595952.25,595952.25,0.01,595952.25,534.82,534.32,1.87
595952.26,10.13,595962.39,595962.39,524.45,596486.84,596486.84,0.01,596486.85,534.59,534.82,1.87
596486.85,10.22,596497.08,596497.08,524.49,597021.57,597021.57,0.01,597021.58,534.72,534.60,1.87
597021.58,10.16,597031.74,597031.74,524.29,597556.04,597556.04,0.01,597556.04,534.46,534.73,1.87
597556.05,10.17,597566.22,597566.22,524.42,598090.63,598090.63,0.01,598090.64,534.59,534.47,1.87
598090.64,10.28,598100.92,598100.92,524.32,598625.24,598625.24,0.01,598625.25,534.61,534.60,1.87
598625.26,10.20,598635.46,598635.46,523.95,599159.41,599159.41,0.01,599159.41,534.16,534.61,1.87
599159.42,10.19,599169.61,599169.63,524.54,599694.16,599694.16,0.01,599694.17,534.75,534.16,1.87
599694.18,10.25,599704.43,599704.43,524.05,600228.47,600228.47,0.01,600228.48,534.30,534.76,1.87
600228.49,10.21,600238.69,600238.69,524.55,600763.24,600763.24,0.01,600763.25,534.77,534.31,1.87
600763.26,10.22,600773.48,600773.48,525.27,601298.75,601298.75,0.01,601298.76,535.50,534.77,1.87
601298.76,10.23,601308.99,601308.99,524.48,601833.47,601833.47,0.01,601833.47,534.71,535.51,1.87
601833.48,10.20,601843.68,601843.68,524.23,602367.91,602367.91,0.01,602367.92,534.44,534.72,1.87
602367.92,10.19,602378.12,602378.12,524.37,602902.49,602902.49,0.01,602902.49,534.57,534.44,1.87
602902.50,10.27,602912.77,602912.77,523.79,603436.56,603436.56,0.01,603436.56,534.06,534.57,1.87
