start_preprocess,e_preprocess,end_preprocess,start_infer,e_infer,end_infer,start_postprocess,e_postprocess,end_postprocess,execution_time,cycle_time,frame_rate
231821.83,10.20,231832.03,231832.03,524.14,232356.17,232356.17,0.01,232356.17,534.35,nan,nan
232356.18,10.17,232366.35,232366.35,524.11,232890.46,232890.46,0.01,232890.47,534.29,534.35,1.87
232890.47,10.22,232900.69,232900.69,524.04,233424.73,233424.73,0.01,233424.73,534.26,534.29,1.87
233424.74,10.14,233434.88,233434.88,524.15,233959.03,233959.03,0.01,233959.04,534.30,534.27,1.87
233959.05,10.20,233969.24,233969.24,513.42,234482.66,234482.66,0.01,234482.67,523.62,534.30,1.87
234482.67,9.94,234492.61,234492.61,511.98,235004.59,235004.59,0.01,235004.60,521.93,523.63,1.91
235004.61,10.12,235014.73,235014.73,524.20,235538.93,235538.93,0.01,235538.93,534.33,521.93,1.92
235538.94,10.26,235549.20,235549.20,524.49,236073.69,236073.69,0.01,236073.70,534.76,534.33,1.87
236073.70,10.20,236083.90,236083.90,524.31,236608.20,236608.20,0.01,236608.21,534.51,534.76,1.87
236608.22,10.16,236618.38,236618.38,524.38,237142.76,237142.76,0.01,237142.77,534.55,534.52,1.87
237142.78,10.18,237152.96,237152.96,524.15,237677.11,237677.11,0.01,237677.11,534.34,534.56,1.87
237677.12,10.32,237687.44,237687.44,524.19,238211.63,238211.63,0.01,238211.64,534.52,534.34,1.87
238211.64,10.23,238221.87,238221.87,524.17,238746.04,238746.04,0.01,238746.04,534.40,534.52,1.87
238746.05,10.20,238756.25,238756.25,524.14,239280.39,239280.40,0.01,239280.40,534.35,534.41,1.87
239280.41,10.15,239290.56,239290.56,523.91,239814.47,239814.47,0.01,239814.48,534.07,534.36,1.87
239814.48,10.28,239824.76,239824.76,523.76,240348.52,240348.52,0.01,240348.52,534.04,534.07,1.87
240348.53,10.19,240358.72,240358.72,524.27,240882.99,240882.99,0.01,240883.00,534.47,534.05,1.87
240883.01,10.24,240893.24,240893.24,524.30,241417.54,241417.54,0.01,241417.55,534.54,534.48,1.87
241417.55,10.28,241427.84,241427.84,524.22,241952.06,241952.06,0.01,241952.07,534.51,534.55,1.87
241952.07,10.22,241962.29,241962.29,524.16,242486.45,242486.46,0.01,242486.46,534.39,534.52,1.87
