start_preprocess,e_preprocess,end_preprocess,start_infer,e_infer,end_infer,start_postprocess,e_postprocess,end_postprocess,execution_time,cycle_time,frame_rate
441725.51,9.80,441735.31,441735.31,18.34,441753.65,441753.65,0.01,441753.65,28.15,28.15,35.53
441753.66,9.86,441763.52,441763.52,18.36,441781.88,441781.88,0.01,441781.88,28.23,28.15,35.52
441781.88,9.88,441791.76,441791.76,18.30,441810.06,441810.06,0.01,441810.07,28.19,28.23,35.43
441810.07,9.83,441819.91,441819.91,18.38,441838.28,441838.28,0.01,441838.29,28.22,28.19,35.47
441838.29,9.80,441848.09,441848.09,18.45,441866.54,441866.54,0.01,441866.55,28.26,28.22,35.44
441866.55,9.79,441876.35,441876.35,18.40,441894.74,441894.74,0.01,441894.75,28.20,28.26,35.39
441894.75,9.81,441904.57,441904.57,18.35,441922.92,441922.92,0.01,441922.92,28.17,28.20,35.46
441922.93,9.80,441932.73,441932.73,18.33,441951.06,441951.06,0.01,441951.07,28.14,28.17,35.49
441951.07,9.80,441960.87,441960.87,18.30,441979.17,441979.17,0.01,441979.17,28.10,28.14,35.53
441979.18,9.81,441988.99,441988.99,18.43,442007.42,442007.42,0.01,442007.42,28.25,28.10,35.58
442007.43,9.78,442017.21,442017.21,18.45,442035.66,442035.66,0.01,442035.66,28.24,28.25,35.40
442035.67,9.77,442045.43,442045.43,18.35,442063.79,442063.79,0.01,442063.79,28.13,28.24,35.41
442063.79,9.83,442073.63,442073.63,18.38,442092.01,442092.01,0.01,442092.02,28.22,28.13,35.55
442092.02,9.79,442101.81,442101.81,18.32,442120.13,442120.13,0.01,442120.13,28.12,28.22,35.43
442120.14,9.78,442129.91,442129.91,18.34,442148.26,442148.26,0.01,442148.26,28.13,28.12,35.57
442148.26,9.81,442158.08,442158.08,18.46,442176.54,442176.54,0.01,442176.55,28.28,28.13,35.55
442176.55,9.88,442186.43,442186.43,18.40,442204.83,442204.83,0.01,442204.84,28.29,28.29,35.35
442204.84,9.78,442214.62,442214.62,18.35,442232.97,442232.97,0.01,442232.97,28.13,28.29,35.35
442232.98,9.85,442242.82,442242.82,18.36,442261.19,442261.19,0.01,442261.19,28.22,28.13,35.54
442261.20,9.78,442270.98,442270.98,18.38,442289.35,442289.35,0.01,442289.36,28.16,28.22,35.43
442289.36,9.83,442299.19,442299.19,18.30,442317.49,442317.49,0.01,442317.50,28.14,28.16,35.51
442317.50,9.86,442327.36,442327.36,18.42,442345.78,442345.78,0.01,442345.79,28.29,28.14,35.54
442345.79,9.81,442355.60,442355.60,18.44,442374.04,442374.04,0.01,442374.05,28.25,28.29,35.34
442374.05,9.84,442383.88,442383.88,18.38,442402.27,442402.27,0.01,442402.28,28.23,28.26,35.39
442402.28,9.81,442412.09,442412.09,18.32,442430.41,442430.41,0.01,442430.41,28.14,28.23,35.42
442430.42,9.78,442440.19,442440.19,18.37,442458.56,442458.56,0.01,442458.57,28.15,28.14,35.54
442458.57,9.81,442468.38,442468.38,18.31,442486.69,442486.69,0.01,442486.70,28.13,28.15,35.52
442486.70,9.82,442496.52,442496.52,18.38,442514.90,442514.90,0.01,442514.90,28.21,28.13,35.55
