start_preprocess,e_preprocess,end_preprocess,start_infer,e_infer,end_infer,start_postprocess,e_postprocess,end_postprocess,execution_time,cycle_time,frame_rate
187628.95,9.77,187638.72,187638.72,19.03,187657.75,187657.75,0.01,187657.76,28.81,nan,nan
187657.76,9.79,187667.55,187667.55,19.03,187686.58,187686.58,0.01,187686.59,28.83,28.81,34.71
187686.59,9.75,187696.34,187696.34,18.98,187715.32,187715.32,0.01,187715.33,28.74,28.83,34.69
187715.33,9.82,187725.16,187725.16,18.92,187744.08,187744.08,0.01,187744.09,28.75,28.74,34.79
187744.09,9.75,187753.84,187753.84,18.38,187772.22,187772.22,0.01,187772.23,28.14,28.76,34.77
187772.23,9.76,187781.99,187781.99,18.42,187800.41,187800.41,0.01,187800.41,28.18,28.15,35.53
187800.42,9.82,187810.23,187810.23,18.47,187828.71,187828.71,0.01,187828.72,28.30,28.18,35.48
187828.72,9.78,187838.50,187838.50,18.40,187856.90,187856.90,0.01,187856.91,28.19,28.30,35.33
187856.91,9.81,187866.72,187866.72,18.28,187885.00,187885.00,0.01,187885.01,28.10,28.19,35.47
187885.01,9.77,187894.78,187894.78,18.32,187913.10,187913.10,0.01,187913.11,28.10,28.10,35.59
187913.11,9.75,187922.86,187922.86,18.31,187941.17,187941.17,0.01,187941.18,28.07,28.10,35.59
187941.18,9.77,187950.95,187950.95,18.31,187969.26,187969.26,0.01,187969.27,28.08,28.08,35.62
187969.27,9.80,187979.07,187979.07,18.43,187997.50,187997.50,0.01,187997.51,28.24,28.08,35.61
187997.51,9.94,188007.45,188007.45,18.36,188025.81,188025.81,0.01,188025.82,28.31,28.24,35.41
188025.82,9.74,188035.56,188035.56,18.31,188053.88,188053.88,0.01,188053.88,28.06,28.31,35.33
188053.88,9.74,188063.62,188063.62,18.27,188081.90,188081.90,0.01,188081.90,28.02,28.07,35.63
188081.91,9.80,188091.71,188091.71,18.30,188110.00,188110.00,0.01,188110.01,28.11,28.02,35.69
188110.01,9.75,188119.77,188119.77,18.36,188138.13,188138.13,0.01,188138.14,28.12,28.11,35.58
188138.14,9.76,188147.90,188147.90,18.38,188166.29,188166.29,0.01,188166.29,28.16,28.12,35.56
188166.30,9.84,188176.14,188176.14,18.38,188194.52,188194.52,0.01,188194.53,28.23,28.16,35.51
188194.53,9.82,188204.35,188204.35,18.29,188222.65,188222.65,0.01,188222.65,28.12,28.23,35.42
188222.66,9.76,188232.42,188232.42,18.32,188250.74,188250.74,0.01,188250.75,28.09,28.13,35.55
188250.75,9.78,188260.53,188260.53,18.45,188278.98,188278.98,0.01,188278.99,28.23,28.10,35.59
188278.99,9.77,188288.75,188288.75,18.32,188307.08,188307.08,0.01,188307.08,28.10,28.24,35.42
188307.09,9.78,188316.87,188316.87,18.44,188335.30,188335.30,0.01,188335.31,28.22,28.10,35.59
188335.31,9.80,188345.11,188345.11,18.50,188363.61,188363.61,0.01,188363.62,28.31,28.23,35.43
188363.62,9.82,188373.44,188373.45,18.36,188391.81,188391.81,0.01,188391.82,28.20,28.31,35.32
188391.82,9.83,188401.64,188401.65,18.35,188420.00,188420.00,0.01,188420.01,28.19,28.20,35.46
188420.01,9.81,188429.82,188429.82,18.53,188448.35,188448.35,0.01,188448.36,28.35,28.19,35.47
188448.36,9.75,188458.11,188458.11,18.55,188476.66,188476.66,0.01,188476.67,28.31,28.35,35.27
